	family	species	depthzone	climate	meantemp	watertype	ocean	fooditems	invert.vert	trophiclevel	sediment	reef-assoc	continentalshelf	river
Gymnachirus_texae	Achiridae	Gymnachirus texae	NA	Subtropical	25.4	marine	Atlantic.IndoWest	NA	NA	3.3	mud	no	no	no
Hippoglossoides_dubius	Pleuronectidae	Hippoglossoides dubius	bathyal	Temperate	3.4	marine	Pacific	crust.poly.fish	invert.vert	3.7	NA	no	no	no
Hippoglossoides_elassodon	Pleuronectidae	Hippoglossoides elassodon	bathyal	Temperate	7.6	marine	Pacific	crust.poly.fish	invert.vert	3.7	mud	no	no	no
Hippoglossoides_platessoides	Pleuronectidae	Hippoglossoides platessoides	bathyal	Temperate	5.6	marine	Atlantic	crust.poly.ech.fish	invert.vert	4.1	mud.sand	no	no	no
Hippoglossus_hippoglossus	Pleuronectidae	Hippoglossus hippoglossus	bathyal	Temperate	3.4	marine	Atlantic	crust.fish	invert.vert	4	NA	no	no	no
Hypoclinemus_mentalis	Achiridae	Hypoclinemus mentalis	NA	Tropical	NA	NA	NA	NA	NA	3.4	NA	no	no	no
Isopsetta_isolepis	Pleuronectidae	Isopsetta isolepis	bathyal	Temperate	4.7	marine	Atlantic.Pacific	crust.poly.fish	invert.vert	3.6	mud	no	no	no
Kareius_bicoloratus	Pleuronectidae	Kareius bicoloratus	sublittoral	Temperate	NA	marine.brack.fresh	Pacific	crust.poly	invert	3.7	mud.sand	no	no	no
Laeops_kitaharae	Bothidae	Laeops kitaharae	bathyal	Tropical	19.9	marine	IndoWest	NA	NA	3.6	NA	no	no	no
Laeops_nigromaculatus	Bothidae	Laeops nigromaculatus	bathyal	Temperate	18.8	marine	Indian.Pacific	NA	NA	3.5	NA	no	no	no
Lepidopsetta_bilineata	Pleuronectidae	Lepidopsetta bilineata	sublittoral	Temperate	5.1	marine	Pacific	crust.poly.ech.fish	invert.vert	3.2	sand.rock	no	no	no
Lepidorhombus_boscii	Scophthalmidae	Lepidorhombus boscii	bathyal	Temperate	11.5	marine	Atlantic	crust.fish	invert.vert	3.7	mud	no	no	no
Limanda_limanda	Pleuronectidae	Limanda limanda	sublittoral	Temperate	8.9	marine	Atlantic	crust.poly.fish	invert.vert	3.4	sand	no	no	no
Lyopsetta_exilis	Pleuronectidae	Lyopsetta exilis	bathyal	NA	6.2	marine	Pacific	crust.poly.fish	invert.vert	3.5	sand.rock	no	no	no
Mancopsetta_maculata	Achiropsettidae	Mancopsetta maculata	bathyal	Temperate	3.3	marine	Southern	crust.poly.fish	invert.vert	3.7	mud	no	no	no
Microstomus_pacificus	Pleuronectidae	Microstomus pacificus	bathyal	Temperate	3.5	marine	Pacific	crust.poly	invert	3.2	mud	no	no	no
Oncopterus_darwinii	Rhombosoleidae	Oncopterus darwinii	sublittoral	Subtropical	13.2	marine	Atlantic	crust.poly	invert	3.3	NA	no	no	no
